Date,Mon,Tue,Wed,Thu,Fri,Sat
"04-11-2019
To
09-11-2019","6 
6 
0 
 ","21 ","5
7
9
 ","3 
4 
7 
 ","49 ","5
6
8
 ","7 
8 
0 
 ","53 ","1
3
9
 ","1 
1 
8 
 ","06 ","1
5
0
 ","3 
6 
9 
 ","83 ","3
0
0
 ","1 
2 
3 
 ","69 ","3
7
9
 "
"11-11-2019
To
16-11-2019","3 
3 
7 
 ","35 ","1
5
9
 ","8 
8 
9 
 ","59 ","2
8
9
 ","2 
3 
9 
 ","42 ","2
2
8
 ","1 
4 
6 
 ","14 ","4
5
5
 ","6 
7 
9 
 ","27 ","8
9
0
 ","5 
5 
9 
 ","95 ","1
4
0
 "
"18-11-2019
To
23-11-2019","5 
7 
9 
 ","10 ","1
4
5
 ","6 
7 
9 
 ","29 ","4
5
0
 ","1 
2 
3 
 ","64 ","4
4
6
 ","4 
7 
9 
 ","02 ","1
5
6
 ","1 
6 
7 
 ","44 ","7
8
9
 ","5 
6 
0 
 ","15 ","3
5
7
 "
"25-11-2019
To
30-11-2019","4 
6 
6 
 ","61 ","1
1
9
 ","5 
7 
8 
 ","07 ","4
5
8
 ","9 
0 
0 
 ","97 ","1
2
4
 ","6 
0 
0 
 ","68 ","2
7
9
 ","4 
6 
9 
 ","92 ","1
4
7
 ","2 
3 
0 
 ","57 ","2
6
9
 "
"02-12-2019
To
07-12-2019","1 
2 
4 
 ","73 ","1
5
7
 ","1 
2 
5 
 ","82 ","1
3
8
 ","4 
5 
6 
 ","59 ","2
3
4
 ","5 
8 
9 
 ","21 ","2
2
7
 ","1 
7 
9 
 ","75 ","1
1
3
 ","1 
2 
7 
 ","02 ","1
5
6
 "
"09-12-2019
To
14-12-2019","*
*
* ","** ","*
*
*","2 
6 
9 
 ","77 ","1
6
0
 ","2 
5 
6 
 ","35 ","7
8
0
 ","5 
7 
9 
 ","17 ","3
4
0
 ","2 
0 
0 
 ","29 ","4
7
8
 ","2 
3 
5 
 ","00 ","5
6
9
 "
"16-12-2019
To
21-12-2019","5 
7 
7 
 ","96 ","7
9
0
 ","4 
0 
0 
 ","40 ","5
7
8
 ","5 
7 
8 
 ","01 ","1
4
6
 ","3 
5 
6 
 ","43 ","2
2
9
 ","1 
2 
0 
 ","39 ","4
7
8
 ","6 
7 
7 
 ","00 ","4
6
0
 "
"23-12-2019
To
28-12-2019","2 
3 
0 
 ","58 ","5
6
7
 ","3 
5 
6 
 ","47 ","4
5
8
 ","1 
6 
8 
 ","50 ","1
4
5
 ","1 
2 
5 
 ","87 ","5
5
7
 ","6 
9 
0 
 ","58 ","4
4
0
 ","4 
9 
9 
 ","24 ","2
6
6
 "
"30-12-2019
To
04-01-2020","1 
3 
7 
 ","12 ","1
4
7
 ","2 
5 
7 
 ","44 ","7
8
9
 ","6 
7 
0 
 ","38 ","3
7
8
 ","2 
4 
9 
 ","53 ","3
0
0
 ","4 
5 
0 
 ","95 ","4
5
6
 ","5 
7 
0 
 ","21 ","1
3
7
 "
"06-01-2020
To
11-01-2020","1 
5 
7 
 ","31 ","5
7
9
 ","7 
0 
0 
 ","75 ","2
4
9
 ","1 
6 
9 
 ","62 ","6
7
9
 ","7 
8 
0 
 ","51 ","3
4
4
 ","5 
6 
0 
 ","15 ","2
5
8
 ","1 
3 
3 
 ","76 ","2
5
9
 "
"13-01-2020
To
18-01-2020","2 
2 
3 
 ","76 ","1
5
0
 ","1 
6 
7 
 ","47 ","2
6
9
 ","7 
9 
0 
 ","69 ","1
9
9
 ","1 
5 
6 
 ","20 ","5
6
9
 ","7 
8 
9 
 ","43 ","1
6
6
 ","1 
1 
5 
 ","70 ","4
6
0
 "
"20-01-2020
To
25-01-2020","1 
8 
0 
 ","98 ","5
6
7
 ","1 
4 
0 
 ","53 ","1
3
9
 ","1 
4 
7 
 ","25 ","1
6
8
 ","3 
7 
9 
 ","93 ","1
6
6
 ","2 
4 
9 
 ","51 ","5
7
9
 ","4 
5 
9 
 ","81 ","4
7
0
 "
"27-01-2020
To
01-02-2020","3 
4 
5 
 ","27 ","4
5
8
 ","4 
6 
8 
 ","85 ","1
1
3
 ","5 
7 
0 
 ","27 ","5
5
7
 ","2 
3 
9 
 ","49 ","1
1
7
 ","2 
3 
7 
 ","23 ","1
5
7
 ","1 
8 
8 
 ","73 ","1
5
7
 "
"03-02-2020
To
08-02-2020","4 
8 
9 
 ","12 ","2
0
0
 ","5 
8 
0 
 ","36 ","4
4
8
 ","4 
5 
8 
 ","70 ","1
4
5
 ","2 
2 
8 
 ","27 ","4
6
7
 ","1 
3 
5 
 ","99 ","1
8
0
 ","1 
5 
0 
 ","67 ","2
2
3
 "
"10-02-2020
To
15-02-2020","1 
2 
4 
 ","72 ","1
2
9
 ","1 
8 
0 
 ","91 ","3
3
5
 ","7 
8 
0 
 ","59 ","1
1
7
 ","6 
6 
0 
 ","24 ","7
8
9
 ","2 
5 
0 
 ","78 ","1
3
4
 ","1 
4 
4 
 ","92 ","1
5
6
 "
"17-02-2020
To
22-02-2020","3 
8 
9 
 ","06 ","8
9
9
 ","3 
5 
8 
 ","68 ","1
1
6
 ","4 
7 
9 
 ","09 ","2
8
9
 ","2 
5 
7 
 ","42 ","2
3
7
 ","1 
2 
5 
 ","83 ","6
8
9
 ","1 
2 
3 
 ","65 ","5
0
0
 "
"24-02-2020
To
29-02-2020","1 
9 
0 
 ","08 ","5
6
7
 ","4 
7 
0 
 ","13 ","6
7
0
 ","2 
4 
6 
 ","27 ","2
5
0
 ","3 
6 
7 
 ","60 ","5
7
8
 ","1 
6 
6 
 ","30 ","5
5
0
 ","6 
7 
8 
 ","15 ","2
4
9
 "
"02/03/2020
to
07/03/2020","4
5
0 ","98 ","1
7
0 ","2
3
5 ","07 ","3
6
8 ","5
7
0 ","24 ","1
1
2 ","1
3
4 ","88 ","5
6
7 ","2
6
9 ","74 ","6
9
9 ","3
6
7 ","64 ","1
4
9 "
"09/03/2020
to
14/03/2020","1
7
9 ","76 ","4
6
6 ","

 ","** ","

 ","5
7
8 ","08 ","1
3
4 ","3
4
8 ","51 ","5
7
9 ","4
5
7 ","62 ","1
5
6 ","3
3
4 "," 05 ","4
5
6 "
"16/03/2020
to
21/03/2020","3
3
7 ","38 ","1
2
5 ","1
8
0 ","96 ","3
5
8 ","4
8
9 ","15 ","7
8
0 ","2
6
9 ","70 ","4
7
9 ","7
7
8 ","23 ","6
8
9 ","5
9
0 ","46 ","7
9
0 "
"25/05/2020
to
30/05/2020","*
*
*","** ","*
*
*","1
0
0","10 ","1
9
0","4
5
9","87 ","2
7
8","1
2
0","36 ","4
5
7","8
8
9","57 ","1
1
5","1
4
6","16 ","2
6
8"
"01/06/2020
to
06/06/2020","2
3
8","36 ","7
9
0","3
5
7","52 ","1
5
6","6
8
0","47 ","1
7
9","6
8
9","34 ","7
7
0","1
2
6","96 ","3
4
9","2
4
9","50 ","6
7
7"
"08/06/2020
to
13/06/2020","3
3
9","57 ","1
2
4","5
7
9","17 ","5
6
6","4
6
8","81 ","3
3
5","6
8
9","30 ","2
3
5","1
6
7","46 ","1
1
4","3
7
0","04 ","2
4
8"
"15/06/2020
to
20/06/2020","1
6
9","68 ","4
5
9","1
1
8","01 ","2
4
5","1
4
9","49 ","1
3
5","4
6
6","69 ","3
6
0","1
3
7","18 ","4
7
7","1
7
9","79 ","3
7
9"
"23/06/2020
to
28/06/2020","1
3
0","42 ","1
5
6","2
4
5","15 ","4
4
7","2
5
0","78 ","3
7
8","1
6
7","41 ","6
7
8","2
5
8","58 ","2
7
9","5
7
9","14 ","1
1
2"
"29/06/2020
to
04/07/2020","1
2
4","73 ","2
5
6","2
6
7","56 ","8
9
9","7
8
9","42 ","2
3
7","6
0
0","61 ","1
4
6","5
7
8","02 ","2
4
6","1
6
0","79 ","4
6
9"
"06/07/2020
to
11/07/2020","1
1
8","04 ","3
4
7","4
8
9","10 ","2
3
5","1
5
9","57 ","3
5
9","6
9
0","57 ","3
5
9","2
4
0","62 ","2
5
5","1
8
9","80 ","3
8
9"
"12/07/2020
to
17/07/2020","5
5
9","96 ","3
4
9","1
2
5","86 ","7
9
0","3
5
9","75 ","1
6
8","3
7
9","91 ","6
7
8","2
4
4","05 ","1
6
8","6
8
9","32 ","2
5
5"
"18/07/2020
to
23/07/2020","2
8
9","95 ","2
4
9","5
6
0","17 ","1
7
9","2
6
7","54 ","7
7
0","4
5
9","81 ","2
4
5","9
0
0","92 ","5
8
9","1
4
6","10 ","4
6
0"
"25/07/2020
to
30/07/2020","5
8
9","26 ","1
2
3","1
5
8","49 ","1
1
7","1
4
6","10 ","3
8
9","2
8
9","97 ","2
2
3","5
7
9","12 ","2
0
0","5
6
7","84 ","5
9
0"
"01/08/2020
to
06/08/2020","5
5
7","70 ","1
3
6","5
6
8","90 ","1
3
6","3
8
0","14 ","2
5
7","6
7
0","34 ","3
5
6","1
2
3","60 ","3
3
4","8
9
0","78 ","4
5
9"
"10/08/2020
to
15/08/2020","2
3
7","24 ","1
3
0","1
0
0","16 ","1
7
8","4
7
9","02 ","5
8
9","2
5
8","54 ","1
3
0","2
4
5","12 ","4
9
9","*
*
*","** ","*
*
*"
"17/08/2020
to
22/08/2020","6
9
0","57 ","2
2
3","2
5
9","69 ","3
6
0","1
3
8","22 ","1
5
6","1
5
0","63 ","6
8
9","1
2
8","15 ","7
8
0","1
4
5","04 ","1
3
0"
"24/08/2020
to
29/08/2020","2
5
0","78 ","1
2
5","3
5
7","54 ","7
7
0","1
3
9","31 ","2
4
5","3
3
5","15 ","1
4
0","1
5
6","22 ","5
8
9","9
0
0","94 ","1
5
8"
"31/08/2020
to
05/09/2020","1
8
0","93 ","2
3
8","2
3
4","97 ","3
5
9","1
4
9","45 ","2
6
7","4
6
8","87 ","3
5
9","6
9
0","51 ","5
7
9","1
7
0","86 ","1
2
3"
"07/09/2020
to
12/09/2020","1
7
0","86 ","1
2
3","1
2
4","72 ","1
5
6","2
5
6","39 ","2
2
5","1
2
5","82 ","6
7
9","2
4
7","35 ","6
9
0","5
7
9","12 ","2
3
7"
"14/09/2020
to
19/09/2020","4
4
0","85 ","6
9
0","3
9
0","29 ","1
8
0","1
7
8","68 ","1
7
0","2
4
8","44 ","4
5
5","3
7
9","93 ","3
0
0","2
7
8","71 ","1
4
6"
"25/05/2020
to
30/05/2020","*
*
*","** ","*
*
*","1
0
0","10 ","1
9
0","4
5
9","87 ","2
7
8","1
2
0","36 ","4
5
7","8
8
9","57 ","1
1
5","1
4
6","16 ","2
6
8"
"01/06/2020
to
06/06/2020","2
3
8","36 ","7
9
0","3
5
7","52 ","1
5
6","6
8
0","47 ","1
7
9","6
8
9","34 ","7
7
0","1
2
6","96 ","3
4
9","2
4
9","50 ","6
7
7"
"08/06/2020
to
13/06/2020","3
3
9","57 ","1
2
4","5
7
9","17 ","5
6
6","4
6
8","81 ","3
3
5","6
8
9","30 ","2
3
5","1
6
7","46 ","1
1
4","3
7
0","04 ","2
4
8"
"15/06/2020
to
20/06/2020","1
6
9","68 ","4
5
9","1
1
8","01 ","2
4
5","1
4
9","49 ","1
3
5","4
6
6","69 ","3
6
0","1
3
7","18 ","4
7
7","1
7
9","79 ","3
7
9"
"23/06/2020
to
28/06/2020","1
3
0","42 ","1
5
6","2
4
5","15 ","4
4
7","2
5
0","78 ","3
7
8","1
6
7","41 ","6
7
8","2
5
8","58 ","2
7
9","5
7
9","14 ","1
1
2"
"29/06/2020
to
04/07/2020","1
2
4","73 ","2
5
6","2
6
7","56 ","8
9
9","7
8
9","42 ","2
3
7","6
0
0","61 ","1
4
6","5
7
8","02 ","2
4
6","1
6
0","79 ","4
6
9"
"06/07/2020
to
11/07/2020","1
1
8","04 ","3
4
7","4
8
9","10 ","2
3
5","1
5
9","57 ","3
5
9","6
9
0","57 ","3
5
9","2
4
0","62 ","2
5
5","1
8
9","80 ","3
8
9"
"12/07/2020
to
17/07/2020","5
5
9","96 ","3
4
9","1
2
5","86 ","7
9
0","3
5
9","75 ","1
6
8","3
7
9","91 ","6
7
8","2
4
4","05 ","1
6
8","6
8
9","32 ","2
5
5"
"18/07/2020
to
23/07/2020","2
8
9","95 ","2
4
9","5
6
0","17 ","1
7
9","2
6
7","54 ","7
7
0","4
5
9","81 ","2
4
5","9
0
0","92 ","5
8
9","1
4
6","10 ","4
6
0"
"25/07/2020
to
30/07/2020","5
8
9","26 ","1
2
3","1
5
8","49 ","1
1
7","1
4
6","10 ","3
8
9","2
8
9","97 ","2
2
3","5
7
9","12 ","2
0
0","5
6
7","84 ","5
9
0"
"01/08/2020
to
06/08/2020","5
5
7","70 ","1
3
6","5
6
8","90 ","1
3
6","3
8
0","14 ","2
5
7","6
7
0","34 ","3
5
6","1
2
3","60 ","3
3
4","8
9
0","78 ","4
5
9"
"10/08/2020
to
15/08/2020","2
3
7","24 ","1
3
0","1
0
0","16 ","1
7
8","4
7
9","02 ","5
8
9","2
5
8","54 ","1
3
0","2
4
5","12 ","4
9
9","*
*
*","** ","*
*
*"
"17/08/2020
to
22/08/2020","6
9
0","57 ","2
2
3","2
5
9","69 ","3
6
0","1
3
8","22 ","1
5
6","1
5
0","63 ","6
8
9","1
2
8","15 ","7
8
0","1
4
5","04 ","1
3
0"
"24/08/2020
to
29/08/2020","2
5
0","78 ","1
2
5","3
5
7","54 ","7
7
0","1
3
9","31 ","2
4
5","3
3
5","15 ","1
4
0","1
5
6","22 ","5
8
9","9
0
0","94 ","1
5
8"
"31/08/2020
to
05/09/2020","1
8
0","93 ","2
3
8","2
3
4","97 ","3
5
9","1
4
9","45 ","2
6
7","4
6
8","87 ","3
5
9","6
9
0","51 ","5
7
9","1
7
0","86 ","1
2
3"
"06/09/2020
to
11/09/2020","1
7
0","86 ","1
2
3","1
2
4","72 ","1
5
6","2
5
6","39 ","2
2
5","1
2
5","82 ","6
7
9","2
4
7","35 ","6
9
0","5
7
9","12 ","2
3
7"
"12/09/2020
to
17/09/2020","5
5
0","07 ","3
6
8","4
4
0","85 ","6
9
0","3
9
0","29 ","1
8
0","1
7
8","68 ","1
7
0","2
4
8","44 ","4
5
5","1
4
5","02 ","5
8
9"
"22/09/2020
to
27/09/2020","1
3
0","41 ","5
7
9","7
7
8","23 ","1
6
6","4
7
9","06 ","7
9
0","6
8
0","41 ","4
8
9","2
5
6","32 ","3
3
6","1
4
9","41 ","4
7
0"
"28/09/2020
to
03/10/2020","4
6
7","77 ","2
7
8","1
2
6","90 ","1
9
0","1
8
9","89 ","1
2
6","1
4
7","26 ","3
5
8","3
0
0","34 ","2
5
7","2
6
7","57 ","2
5
0"
"05/10/2020
to
10/10/2020","1
2
6","90 ","4
7
9","4
8
9","17 ","1
7
9","1
2
3","69 ","2
2
5","3
3
6","21 ","1
3
7","4
5
0","90 ","1
9
0","2
4
5","31 ","1
2
0"
"12/10/2020
to
17/10/2020","2
4
6","20 ","5
7
8","2
7
8","89 ","4
6
9","5
7
9","10 ","4
6
0","9
0
0","99 ","4
5
0","1
5
9","52 ","3
9
0","3
4
0","73 ","1
2
0"
"19/10/2020
to
24/10/2020","1
4
5","05 ","2
3
0","3
6
9","89 ","2
3
4","8
8
9","53 ","2
4
7","1
6
0","70 ","4
7
9","3
4
6","38 ","2
6
0","2
7
0","98 ","4
5
9"
"26/10/2020
to
31/10/2020","3
3
7","39 ","1
2
6","2
6
7","58 ","2
7
9","4
7
0","19 ","4
7
8","7
8
9","43 ","2
2
9","1
4
6","16 ","2
4
0","2
3
4","90 ","1
9
0"
"02/11/2020
to
07/11/2020","2
3
5","07 ","1
7
9","2
5
8","56 ","8
8
0","4
5
9","81 ","2
2
7","1
4
6","12 ","1
4
7","8
9
0","79 ","2
7
0","5
6
9","09 ","1
9
9"
"09/11/2020
to
14/11/2020","*
*
*","** ","*
*
*","*
*
*","** ","*
*
*","*
*
*","** ","*
*
*","*
*
*","** ","*
*
*","*
*
*","** ","*
*
*","*
*
*","** ","*
*
*"
"16/11/2020
to
21/11/2020","7
8
9","46 ","1
5
0","1
3
8","23 ","6
8
9","1
4
4","97 ","3
4
0","1
4
6","11 ","4
8
9","1
2
7","06 ","3
6
7","2
4
5","12 ","5
8
9"
"23/11/2020
to
28/11/2020","1
2
3","65 ","1
4
0","5
8
9","20 ","2
3
5","1
6
0","79 ","4
6
9","1
4
9","45 ","4
5
6","5
7
9","11 ","4
7
0","5
6
8","97 ","1
2
4"
"30/11/2020
to
05/12/2020","1
2
9","20 ","5
6
9","1
3
0","46 ","2
5
9","4
8
9","13 ","1
3
9","1
4
9","41 ","6
7
8","4
5
6","56 ","3
5
8","2
7
8","70 ","5
7
8"
"07/12/2020
to
12/12/2020","6
8
9","36 ","3
3
0","4
5
8","79 ","3
7
9","1
3
0","41 ","2
3
6","4
4
0","80 ","2
3
5","2
3
4","92 ","1
4
7","1
4
6","17 ","2
5
0"
"14/12/2020
to
19/12/2020","5
5
9","90 ","4
7
9","7
9
0","63 ","3
4
6","1
8
9","84 ","3
4
7","4
6
0","09 ","1
9
9","5
7
9","19 ","2
7
0","1
5
6","26 ","2
6
8"
"21/12/2020
to
26/12/2020","1
4
6","12 ","2
4
6","3
7
7","73 ","3
4
6","3
4
9","61 ","1
3
7","1
6
7","40 ","3
8
9","1
5
7","36 ","4
5
7","5
6
9","07 ","8
9
0"
"28/12/2020
to
02/01/2021","3
6
9","89 ","2
7
0","1
7
9","73 ","1
4
8","2
6
0","84 ","2
5
7","4
8
9","13 ","2
4
7","3
7
9","97 ","3
5
9","5
6
7","81 ","2
2
7"
"04/01/2021
to
09/01/2021","2
3
4","98 ","2
8
8","1
5
9","58 ","3
5
0","3
5
8","63 ","2
5
6","1
4
6","15 ","3
4
8","1
3
9","34 ","2
5
7","1
3
5","97 ","4
6
7"
"11/01/2021
to
16/01/2021","4
6
0","01 ","2
3
6","1
1
4","64 ","5
9
0","6
8
9","39 ","1
3
5","3
4
5","28 ","9
9
0","2
3
4","96 ","3
6
7","3
7
8","87 ","1
6
0"
"18/01/2021
to
23/01/2021","7
9
0","69 ","1
3
5","3
3
0","67 ","2
7
8","6
7
9","20 ","2
3
5","4
6
9","98 ","5
6
7","2
4
9","51 ","2
3
6","4
6
7","97 ","2
2
5"
"25/01/2021
to
30/01/2021","3
4
7","49 ","1
3
5","*
*
*","** ","*
*
*","2
7
8","74 ","2
4
8","3
5
9","70 ","3
3
4","4
8
9","16 ","3
5
8","3
4
7","42 ","3
4
5"
"01/02/2021
to
06/02/2021","2
6
7","52 ","1
4
7","6
7
8","10 ","1
3
6","3
4
4","18 ","4
5
9","2
3
0","52 ","1
3
8","2
5
7","40 ","1
4
5","1
2
8","17 ","4
6
7"
"08/02/2021
to
13/02/2021","2
4
7","31 ","5
8
8","2
4
9","52 ","1
4
7","2
3
9","41 ","3
8
0","2
2
6","02 ","6
7
9","2
5
6","34 ","7
7
0","4
4
9","75 ","4
5
6"
"15/02/2021
to
20/02/2021","6
7
9","21 ","4
7
0","3
6
0","98 ","1
7
0","2
4
7","30 ","3
3
4","1
7
8","61 ","1
2
8","2
8
9","97 ","1
8
8","2
6
7","52 ","4
8
0"
"22/02/2021
to
27/02/2021","2
2
7","16 ","1
5
0","2
8
9","98 ","1
2
5","2
4
9","54 ","1
6
7","1
4
6","16 ","8
9
9","2
5
8","50 ","2
3
5","2
8
9","97 ","1
3
3"
"01/03/2021
to
06/03/2021","6
7
8","15 ","6
9
0","8
8
0","69 ","1
2
6","5
7
8","00 ","2
9
9","3
3
8","42 ","2
2
8","3
5
7","54 ","1
3
0","8
8
0","61 ","6
7
8"
"08/03/2021
to
13/03/2021","2
6
7","52 ","3
9
0","1
3
9","37 ","2
7
8","1
3
4","80 ","4
8
8","2
3
9","46 ","3
6
7","5
8
9","25 ","2
5
8","5
5
8","18 ","2
6
0"
"15/03/2021
to
20/03/2021","1
2
3","63 ","1
5
7","2
3
6","17 ","3
4
0","1
5
6","25 ","4
5
6","2
2
4","89 ","3
7
9","1
6
8","50 ","4
7
9","5
9
0","47 ","2
6
9"
"22/03/2021
to
27/03/2021","1
3
9","34 ","3
4
7","2
9
0","19 ","1
1
7","2
4
6","23 ","6
8
9","3
6
7","60 ","2
8
0","1
2
6","90 ","3
3
4","1
6
8","55 ","4
4
7"
"29/03/2021
to
03/04/2021","*
*
*","** ","*
*
*","1
7
9","75 ","2
3
0","4
5
7","64 ","7
7
0","5
8
9","27 ","2
5
0","5
0
0","58 ","1
8
9","4
9
0","39 ","2
3
4"
"05/04/2021
to
10/04/2021","6
6
0","29 ","1
2
6","3
4
4","13 ","5
8
0","2
7
0","94 ","3
4
7","3
3
6","20 ","2
2
6","3
6
9","89 ","2
8
9","3
7
0","05 ","4
5
6"
"12/04/2021
to
17/04/2021","1
3
8","25 ","2
4
9","2
7
9","84 ","3
4
7","6
7
0","32 ","2
3
7","4
7
8","91 ","4
8
9","1
3
4","80 ","2
9
9","4
6
9","95 ","2
5
8"
"21/04/2021
to
26/04/2021","3
6
9","81 ","3
8
0","1
4
8","36 ","3
6
7","1
9
0","05 ","8
8
9","5
7
0","26 ","4
5
7","3
6
8","71 ","1
3
7","6
7
7","08 ","3
7
8"
"26/04/2021
to
01/05/2021","3
7
9","92 ","4
8
0","7
8
9","48 ","2
7
9","2
2
3","73 ","2
4
7","1
2
3","65 ","1
5
9","6
8
8","28 ","1
3
4","5
7
8","03 ","4
9
0"
"03/05/2021
to
08/05/2021","2
3
6","19 ","2
3
4","3
4
0","77 ","3
6
8","1
4
5","06 ","3
6
7","2
7
9","81 ","5
7
9","1
2
9","26 ","1
1
4","1
3
9","39 ","2
8
9"
"10/05/2021
to
15/05/2021","6
7
9","25 ","2
4
9","6
7
0","34 ","2
5
7","2
6
8","64 ","1
4
9","2
2
9","37 ","4
6
7","3
7
8","82 ","1
1
0","2
3
9","47 ","2
6
9"
